date,usa retail all
1/1/00,1.289
2/1/00,1.377
3/1/00,1.516
4/1/00,1.465
5/1/00,1.487
6/1/00,1.633
7/1/00,1.551
8/1/00,1.465
9/1/00,1.55
10/1/00,1.532
11/1/00,1.517
12/1/00,1.443
1/1/01,1.447
2/1/01,1.45
3/1/01,1.409
4/1/01,1.552
5/1/01,1.702
6/1/01,1.616
7/1/01,1.421
8/1/01,1.421
9/1/01,1.522
10/1/01,1.315
11/1/01,1.171
12/1/01,1.086
1/1/02,1.107
2/1/02,1.114
3/1/02,1.249
4/1/02,1.397
5/1/02,1.392
6/1/02,1.382
7/1/02,1.397
8/1/02,1.396
9/1/02,1.4
10/1/02,1.445
11/1/02,1.419
12/1/02,1.386
1/1/03,1.458
2/1/03,1.613
3/1/03,1.693
4/1/03,1.589
5/1/03,1.497
6/1/03,1.493
7/1/03,1.513
8/1/03,1.62
9/1/03,1.679
10/1/03,1.564
11/1/03,1.512
12/1/03,1.479
1/1/04,1.572
2/1/04,1.648
3/1/04,1.736
4/1/04,1.798
5/1/04,1.983
6/1/04,1.969
7/1/04,1.911
8/1/04,1.878
9/1/04,1.87
10/1/04,2
11/1/04,1.979
12/1/04,1.841
1/1/05,1.831
2/1/05,1.91
3/1/05,2.079
4/1/05,2.243
5/1/05,2.161
6/1/05,2.156
7/1/05,2.29
8/1/05,2.486
9/1/05,2.903
10/1/05,2.717
11/1/05,2.257
12/1/05,2.185
1/1/06,2.316
2/1/06,2.28
3/1/06,2.425
4/1/06,2.742
5/1/06,2.907
6/1/06,2.885
7/1/06,2.981
8/1/06,2.952
9/1/06,2.555
10/1/06,2.245
11/1/06,2.229
12/1/06,2.313
1/1/07,2.24
2/1/07,2.278
3/1/07,2.563
4/1/07,2.845
5/1/07,3.146
6/1/07,3.056
7/1/07,2.965
8/1/07,2.786
9/1/07,2.803
10/1/07,2.803
11/1/07,3.08
12/1/07,3.018
1/1/08,3.043
2/1/08,3.028
3/1/08,3.244
4/1/08,3.458
5/1/08,3.766
6/1/08,4.054
7/1/08,4.062
8/1/08,3.779
9/1/08,3.703
10/1/08,3.051
11/1/08,2.147
12/1/08,1.687
1/1/09,1.788
2/1/09,1.923
3/1/09,1.959
4/1/09,2.049
5/1/09,2.266
6/1/09,2.631
7/1/09,2.527
8/1/09,2.616
9/1/09,2.554
10/1/09,2.551
11/1/09,2.651
12/1/09,2.607
1/1/10,2.715
2/1/10,2.644
3/1/10,2.772
4/1/10,2.848
5/1/10,2.836
6/1/10,2.732
7/1/10,2.729
8/1/10,2.73
9/1/10,2.705
10/1/10,2.801
11/1/10,2.859
12/1/10,2.993
1/1/11,3.095
2/1/11,3.211
3/1/11,3.561
4/1/11,3.8
5/1/11,3.906
6/1/11,3.68
7/1/11,3.65
8/1/11,3.639
9/1/11,3.611
10/1/11,3.448
11/1/11,3.384
12/1/11,3.266
1/1/12,3.38
2/1/12,3.579
3/1/12,3.852
4/1/12,3.9
5/1/12,3.732
6/1/12,3.539
7/1/12,3.439
8/1/12,3.722
9/1/12,3.849
10/1/12,3.746
11/1/12,3.452
12/1/12,3.31
1/1/13,3.319
2/1/13,3.67
3/1/13,3.711
4/1/13,3.57
5/1/13,3.615
6/1/13,3.626
7/1/13,3.591
8/1/13,3.574
9/1/13,3.532
10/1/13,3.344
11/1/13,3.243
12/1/13,3.276
1/1/14,3.313
2/1/14,3.356
3/1/14,3.533
4/1/14,3.661
5/1/14,3.673
6/1/14,3.692
7/1/14,3.611
8/1/14,3.487
9/1/14,3.406
10/1/14,3.171
11/1/14,2.912
12/1/14,2.543
1/1/15,2.116
2/1/15,2.216
3/1/15,2.464
4/1/15,2.469
5/1/15,2.718
6/1/15,2.802
7/1/15,2.794
8/1/15,2.636
9/1/15,2.365
10/1/15,2.29
11/1/15,2.158
12/1/15,2.038
1/1/16,1.949
2/1/16,1.764
3/1/16,1.969
4/1/16,2.113
5/1/16,2.268
6/1/16,2.366
7/1/16,2.239
8/1/16,2.178
9/1/16,2.219
10/1/16,2.249
11/1/16,2.182
12/1/16,2.254
1/1/17,2.349
2/1/17,2.304
3/1/17,2.325
4/1/17,2.417
5/1/17,2.391
6/1/17,2.347
7/1/17,2.3
8/1/17,2.38
9/1/17,2.645
10/1/17,2.505
11/1/17,2.564
12/1/17,2.477
1/1/18,2.555
2/1/18,2.587
3/1/18,2.591
4/1/18,2.757
5/1/18,2.901
6/1/18,2.891
7/1/18,2.849
8/1/18,2.836
9/1/18,2.836
10/1/18,2.86
11/1/18,2.647
12/1/18,2.366
1/1/19,2.248
2/1/19,2.309
3/1/19,2.516
4/1/19,2.798
5/1/19,2.859
6/1/19,2.716
7/1/19,2.74
8/1/19,2.621
9/1/19,2.592
10/1/19,2.627
11/1/19,2.598
12/1/19,2.555
1/1/20,2.548
2/1/20,2.442
3/1/20,2.234
4/1/20,1.841
5/1/20,1.87
6/1/20,2.082
7/1/20,2.183
8/1/20,2.182
9/1/20,2.183
10/1/20,2.158
11/1/20,2.108
12/1/20,2.195
1/1/21,2.334
2/1/21,2.501
3/1/21,2.81
4/1/21,2.858
5/1/21,2.985
6/1/21,3.064
7/1/21,3.136
8/1/21,3.158
9/1/21,3.175
10/1/21,3.291
11/1/21,3.395
12/1/21,3.307
1/1/22,3.315
2/1/22,3.517
3/1/22,4.222
4/1/22,4.109
5/1/22,4.444
6/1/22,4.929
7/1/22,4.559
8/1/22,3.975
9/1/22,3.7
10/1/22,3.815
11/1/22,3.685
12/1/22,3.21
1/1/23,3.339
2/1/23,3.389
3/1/23,3.422
4/1/23,3.603
5/1/23,3.555
6/1/23,3.571
7/1/23,3.597
8/1/23,3.84
9/1/23,3.836
10/1/23,3.613
11/1/23,3.318
12/1/23,3.134
1/1/24,3.075
2/1/24,3.212
3/1/24,3.426
4/1/24,3.611
5/1/24,3.603
6/1/24,3.455
7/1/24,3.484
