model,horizon,beta_0,beta_1,party,beta_1_se,biden
model_month_chg,GAS1,0.07493929025437156,0.19845503350803656,dem,0.017185606398683093,1
model_precise_chg,GAS1,0.08063236824626598,0.0012319071426999278,dem,0.005268652899671037,1
model_level,GAS1,0.22985381466430013,-0.04300649667130358,dem,0.00799719083756507,1
model_month_chg,GAS1,0.12633881634493352,-0.004199703730021605,dem,0.02325497094567464,0
model_precise_chg,GAS1,0.12543428341397364,-0.014954816679635434,dem,0.007747427894730686,0
model_level,GAS1,0.15041137558323547,-0.009648678010377398,dem,0.010570224033495045,0
model_month_chg,GAS5,0.25567363196760173,0.14267607911800906,dem,0.03796801351922769,1
model_precise_chg,GAS5,0.5403009035843421,-0.2785829224312128,dem,0.0192358512420676,1
model_level,GAS5,1.0752968819456437,-0.23564929277199942,dem,0.017340204597145404,1
model_month_chg,GAS5,0.45571792239966513,0.007867608261623853,dem,0.057430844795209435,0
model_precise_chg,GAS5,0.4234488295853958,-0.051759639597700746,dem,0.019161705940803565,0
model_level,GAS5,0.5529713606800535,-0.039086964851834174,dem,0.026101700421988464,0
model_month_chg,GAS1,0.31723834729396283,0.2638176468388305,rep,0.02574355035092596,1
model_precise_chg,GAS1,0.27734809728085813,0.132624922107486,rep,0.007910574401476498,1
model_level,GAS1,0.10081971357298138,0.06425710049787742,rep,0.012381087389497284,1
model_month_chg,GAS1,0.09559654978337727,0.05573824629024802,rep,0.023911810325737956,0
model_precise_chg,GAS1,0.08601964845680896,-0.1294846391738537,rep,0.008008637974247558,0
model_level,GAS1,0.5452577677140797,-0.18063597895629235,rep,0.0108401720349294,0
model_month_chg,GAS5,0.5818366686539257,0.3855743763747813,rep,0.054217354350205964,1
model_precise_chg,GAS5,0.7202996126567325,-0.12526324376382558,rep,0.028295188737932957,1
model_level,GAS5,1.6582570763553186,-0.30618739247059146,rep,0.025743708950313516,1
model_month_chg,GAS5,0.34089624235377325,0.10490053868431479,rep,0.054131227391489484,0
model_precise_chg,GAS5,0.3640703895231927,0.039532376813319,rep,0.018036749780410546,0
model_level,GAS5,1.3698289602849594,-0.413231657246797,rep,0.0245251340138327,0
model_month_chg,GAS1,0.21389444672756258,0.19539271151780416,independent,0.019022141780706322,1
model_precise_chg,GAS1,0.19827307683934467,0.0579717337778905,independent,0.005884382380897174,1
model_level,GAS1,0.12956561913091783,0.02583828130614529,independent,0.008979871361798798,1
model_month_chg,GAS1,0.1224514608913639,0.006931811455555995,independent,0.020939485756125815,0
model_precise_chg,GAS1,0.11927662150495556,-0.06500188078958438,independent,0.006966181652811637,0
model_level,GAS1,0.3444045241760788,-0.08869627420468126,independent,0.009545621035182354,0
model_month_chg,GAS5,0.5059187704745829,0.1636360665698229,independent,0.04012757866248316,1
model_precise_chg,GAS5,0.6769681832005889,-0.1624785144543853,independent,0.020465219888207622,1
model_level,GAS5,1.1849794364389976,-0.19365533007384456,independent,0.018766717255366248,1
model_month_chg,GAS5,0.43942736893270246,0.06749447492386638,independent,0.05096845319642822,0
model_precise_chg,GAS5,0.42769336117703155,-0.01750952201773795,independent,0.01718558880720132,0
model_level,GAS5,0.8647416489495987,-0.17019140559917378,independent,0.02327965023115289,0
