model,umich_var,beta_0,beta_1,party,beta_1_se,biden,sample size
monthly model,CAR good dummy,0.3727654898391945,0.037776211620466724,dem,0.0055497548832053375,1,7305
monthly model,CAR good dummy,0.6018263431095312,-0.002773568985357567,dem,0.0059134203477191226,0,6776
yoy model,CAR good dummy,0.3744850203017583,-0.002435496898104853,dem,0.00566202934254464,1,7305
yoy model,CAR good dummy,0.6019340588179106,-0.004749379758860861,dem,0.005945800798673804,0,6776
monthly model,CAR good dummy,0.27217143400152816,0.037293651584124524,rep,0.005623369215419956,1,6750
monthly model,CAR good dummy,0.7472184659540385,-0.0032186185346328652,rep,0.005559716232309025,0,6319
yoy model,CAR good dummy,0.27214693474249185,0.006750686982216271,rep,0.005538552138452423,1,6750
yoy model,CAR good dummy,0.7475884492436223,-0.03172952849816726,rep,0.005491823783880348,0,6319
monthly model,CAR good dummy,0.30321592014277443,0.03143291644160824,independent,0.004676326021255234,1,10112
monthly model,CAR good dummy,0.6486941079216113,-0.012023971732520755,independent,0.005133744416887497,0,8722
yoy model,CAR good dummy,0.3036876841197723,0.007769916201035166,independent,0.00466129427090021,1,10112
yoy model,CAR good dummy,0.6483805852076917,-0.023742194668773683,independent,0.005377048123402196,0,8722
monthly model,HOM good dummy,0.31986211272776216,0.08612974328615114,dem,0.00548544617667179,1,7305
monthly model,HOM good dummy,0.6188914765817265,0.028124040307761666,dem,0.0058073797554272,0,6776
yoy model,HOM good dummy,0.3227579969821857,0.06207948060173785,dem,0.005520364977411067,1,7305
yoy model,HOM good dummy,0.6191006498285152,0.02326778971715915,dem,0.0057983288314486835,0,6776
monthly model,HOM good dummy,0.25508345241303915,0.09465055234735069,rep,0.005302697561127446,1,6750
monthly model,HOM good dummy,0.7961599104619485,-0.011585440207196235,rep,0.0050704490460278155,0,6319
yoy model,HOM good dummy,0.25600916818271185,0.06985972702759449,rep,0.005328858825971912,1,6750
yoy model,HOM good dummy,0.7959955318696392,-0.004006137112525607,rep,0.005091511747932675,0,6319
monthly model,HOM good dummy,0.2699095139974115,0.07310129743998517,independent,0.004453945840240109,1,10112
monthly model,HOM good dummy,0.6600657433683388,-0.005110435063859942,independent,0.005344587883939645,0,8722
yoy model,HOM good dummy,0.2700159973725404,0.04955667229934281,independent,0.004467939266904795,1,10112
yoy model,HOM good dummy,0.660208984824959,0.0018687051590913937,independent,0.005281237248864021,0,8722
monthly model,RINC good dummy,0.23560312541951664,0.006197041636454708,dem,0.004892398344721759,1,7305
monthly model,RINC good dummy,0.20039197296646122,-0.002617372226994753,dem,0.00474928099198187,0,6776
yoy model,RINC good dummy,0.23555236536210672,0.00635235172200576,dem,0.0049783514879179445,1,7305
yoy model,RINC good dummy,0.2005543526466201,-0.006775401041621656,dem,0.004825015340153409,0,6776
monthly model,RINC good dummy,0.13110135893142918,0.001651939957963577,rep,0.0041692804406679275,1,6750
monthly model,RINC good dummy,0.3084583892512346,0.005807341708345588,rep,0.005783126588404067,0,6319
yoy model,RINC good dummy,0.13113777184616246,0.007888058881649859,rep,0.0041169249060925926,1,6750
yoy model,RINC good dummy,0.3084937533815063,-0.016786217205917296,rep,0.0057212935013055055,0,6319
monthly model,RINC good dummy,0.17891371055493002,-0.005865810628807026,independent,0.003844696308432579,1,10112
monthly model,RINC good dummy,0.26805593426125396,-0.0012193036584528826,independent,0.004756144656949277,0,8722
yoy model,RINC good dummy,0.17890698968781293,0.001886802149772335,independent,0.0038328607055168537,1,10112
yoy model,RINC good dummy,0.26803545263103745,-0.01122190214494598,independent,0.004768610641932713,0,8722
monthly model,PSTK,88.07286035326169,-0.17547983555438496,dem,1.9095532663744308,1,7305
monthly model,PSTK,70.75117130733248,2.6511586238467695,dem,1.6205248219356223,0,6776
yoy model,PSTK,88.11253817402684,2.161634052016173,dem,1.9462010419972355,1,7305
yoy model,PSTK,70.80803331345116,2.607162099432098,dem,1.6416759690804301,0,6776
monthly model,PSTK,79.51209899856501,-0.9138595874890592,rep,2.115721498941743,1,6750
monthly model,PSTK,83.90731709588556,0.044466004697230055,rep,1.7931462982732933,0,6319
yoy model,PSTK,79.68022133785607,2.639402651225844,rep,2.204209194719213,1,6750
yoy model,PSTK,83.83625287179346,-1.818512274406705,rep,1.825107636794069,0,6319
monthly model,PSTK,83.85188261573333,-1.3245444618911912,independent,1.7059319380353282,1,10112
monthly model,PSTK,80.53172188365522,-3.3135821032190846,independent,1.6325208392012225,0,8722
yoy model,PSTK,84.20377026889619,5.511616646796632,independent,1.7762758287166276,1,10112
yoy model,PSTK,80.56599284916958,-1.4156888050627139,independent,1.6316159933446537,0,8722
monthly model,news_72,0.14327895718250375,0.03349677643455158,dem,0.004082276731604454,1,7305
monthly model,news_72,0.02597429702002966,-3.530243869301076e-05,dem,0.0019155147221548814,0,6776
yoy model,news_72,0.1434243752669539,0.10260150195028042,dem,0.004044083614910099,1,7305
yoy model,news_72,0.026262247045529312,0.0097504403423104,dem,0.0019224698389172829,0,6776
monthly model,news_72,0.21810941695301142,0.05172641484491504,rep,0.004919324501063257,1,6750
monthly model,news_72,0.010602108272141383,-4.330766982832189e-05,rep,0.0012700940736006232,0,6319
yoy model,news_72,0.21519134594460604,0.1136928755755943,rep,0.004908188935825124,1,6750
yoy model,news_72,0.01071938126539099,0.003108865883541456,rep,0.001298092330075387,0,6319
monthly model,news_72,0.1813291560580121,0.03221545713471329,independent,0.003771650139244184,1,10112
monthly model,news_72,0.02292744415990629,0.0010399633793071487,independent,0.0016116152840661947,0,8722
yoy model,news_72,0.1782297586901805,0.094611205413418,independent,0.003777966081385285,1,10112
yoy model,news_72,0.02277930096354951,0.007385055270078004,independent,0.0016063842174664576,0,8722
