model,umich_var,beta_0,beta_1,party,beta_1_se,biden,sample size
monthly model,veh_r,75.65363056443982,7.526246637726836,dem,3.562361458262596,1,42
monthly model,veh_r,121.29593384048135,-0.3034375900636678,dem,1.7193798695135256,0,39
yoy model,veh_r,75.9419236243187,-0.7619777883210763,dem,3.7960209452258176,1,42
yoy model,veh_r,121.29593384048135,-1.2271171920262507,dem,1.7082323864677966,0,39
monthly model,veh_r,56.83009418550459,7.489556060564656,rep,3.7067267196919738,1,42
monthly model,veh_r,149.8992423612913,-0.5970211562045904,rep,1.474630216034548,0,39
yoy model,veh_r,57.020142316327124,1.2840818131481966,rep,3.9296345140436073,1,42
yoy model,veh_r,149.8992423612913,-6.330322448727069,rep,1.0493398194290273,0,39
monthly model,veh_r,63.59900780499062,6.260246797550353,independent,2.8112562194162023,1,42
monthly model,veh_r,130.11477987043006,-2.1947288895727857,independent,1.4145798885663736,0,39
yoy model,veh_r,63.7414569434234,1.4193020652768533,independent,3.0054390271763056,1,42
yoy model,veh_r,130.11477987043006,-4.689794144000896,independent,1.239670918055328,0,39
monthly model,hom_r,66.17559158018042,16.18198845317204,dem,3.4360013572109747,1,42
monthly model,hom_r,124.12306127412279,5.358647140893899,dem,1.2746062254921282,0,39
yoy model,hom_r,66.2624712249054,11.186489448339055,dem,3.9101245801045743,1,42
yoy model,hom_r,124.12306127412279,4.3197624690934076,dem,1.3770878939500895,0,39
monthly model,hom_r,54.18893327903707,18.829987102052442,rep,3.7838491461981594,1,42
monthly model,hom_r,159.8206748840806,-2.3091167007643367,rep,1.5187465580956105,0,39
yoy model,hom_r,54.28490025167052,13.237873618848301,rep,4.3454323067198635,1,42
yoy model,hom_r,159.8206748840806,-0.9382835658554054,rep,1.5578529479374421,0,39
monthly model,hom_r,56.32185524882692,14.37229588113627,independent,2.921435399590368,1,42
monthly model,hom_r,132.5855540220145,-0.42865134243435143,independent,1.5993312682515688,0,39
yoy model,hom_r,56.408694707419755,9.518885887579113,independent,3.3885301876087017,1,42
yoy model,hom_r,132.5855540220145,0.5727364760487754,independent,1.5981116695569288,0,39
monthly model,rinc_r,89.21138940050767,0.8306780938775766,dem,1.068063942082258,1,42
monthly model,rinc_r,77.90230660938218,-0.2042551404631947,dem,1.0080973401923985,0,39
yoy model,rinc_r,89.21316354429942,2.006681265496568,dem,1.0282769776137937,1,42
yoy model,rinc_r,77.90230660938218,0.2992542521258259,dem,1.0074559370044067,0,39
monthly model,rinc_r,55.54632859155306,0.16041968597255085,rep,1.267767336664491,1,42
monthly model,rinc_r,104.64159806717575,0.8401085131951582,rep,1.1339831278296506,0,39
yoy model,rinc_r,55.54813788964246,2.5336849892830204,rep,1.2030812216971731,1,42
yoy model,rinc_r,104.64159806717575,-2.3956684839708724,rep,1.0723239601550612,0,39
monthly model,rinc_r,70.1081631216023,-0.1751565546684848,independent,1.31488560976871,1,42
monthly model,rinc_r,91.66898512766463,1.011859724939165,independent,1.0173120002384302,0,39
yoy model,rinc_r,70.10964326661093,2.2901412735257116,independent,1.264353485205683,1,42
yoy model,rinc_r,91.66898512766463,-0.2714800277073284,independent,1.0298561407432993,0,39
monthly model,PSTK,51.258598627846524,-1.197078695084358,dem,1.0511760403542127,1,42
monthly model,PSTK,58.20777579334778,0.5571596964853973,dem,1.096195785255211,0,39
yoy model,PSTK,51.08635550514896,-4.054716608467452,dem,0.872576533630848,1,42
yoy model,PSTK,58.20777579334778,-1.2320699285583234,dem,1.0812068207800432,0,39
monthly model,PSTK,50.771088378204695,-0.26057243872321045,rep,0.9451781639228344,1,42
monthly model,PSTK,57.27342949921493,-0.4211390824429344,rep,1.0026220764697178,0,39
yoy model,PSTK,50.621067888279455,-3.519496905371532,rep,0.7811467503736752,1,42
yoy model,PSTK,57.27342949921493,-2.1690492925472333,rep,0.9396214208545935,0,39
monthly model,PSTK,50.360689381808754,-1.3275208508270664,independent,1.1167228375279106,1,42
monthly model,PSTK,58.024761930193506,-0.19399706363888347,independent,0.9342092315222654,0,39
yoy model,PSTK,50.172354623409106,-4.433811818635823,independent,0.9140231055840008,1,42
yoy model,PSTK,58.024761930193506,-1.6662799671087392,independent,0.8937134917523291,0,39
monthly model,newsrn_u_pri,13.588055159311871,0.7459383430571375,dem,1.9313101531894974,1,42
monthly model,newsrn_u_pri,5.972222528536573,0.351550892177596,dem,1.4580257168157418,0,39
yoy model,newsrn_u_pri,13.817920125592291,-3.855245000222922,dem,1.8657787375263355,1,42
yoy model,newsrn_u_pri,5.972222528536573,-0.0137123717031883,dem,1.45916898474743,0,39
monthly model,newsrn_u_pri,13.985979428866665,1.2838638173330263,rep,2.020408537789413,1,42
monthly model,newsrn_u_pri,6.860904190261728,0.7362438978070259,rep,1.488780408657688,0,39
yoy model,newsrn_u_pri,14.246866478463762,-4.055538849041477,rep,1.9575331005923051,1,42
yoy model,newsrn_u_pri,6.860904190261728,-0.20836260105692422,rep,1.4932996567193262,0,39
monthly model,newsrn_u_pri,14.369983509439383,1.235122688435652,independent,1.939511812952305,1,42
monthly model,newsrn_u_pri,6.699805494044746,1.4995925862595627,independent,1.6166047508824992,0,39
yoy model,newsrn_u_pri,14.653127410180105,-4.517354759923192,independent,1.8439475967768348,1,42
yoy model,newsrn_u_pri,6.699805494044746,0.47592449500733247,independent,1.6334218589267016,0,39
